occupation_socp,occupation_socp_category_code,occupation_socp_description,occupation_socp_label
432011,OFF,"Switchboard Operators, Including Answering Service","OFF-Switchboard Operators, Including Answering Service"
432021,OFF,Telephone Operators,OFF-Telephone Operators
432099,OFF,"Communications Equipment Operators, All Other","OFF-Communications Equipment Operators, All Other"
433011,OFF,Bill And Account Collectors,OFF-Bill And Account Collectors
433021,OFF,Billing And Posting Clerks,OFF-Billing And Posting Clerks
433031,OFF,"Bookkeeping, Accounting, And Auditing Clerks","OFF-Bookkeeping, Accounting, And Auditing Clerks"
433051,OFF,Payroll And Timekeeping Clerks,OFF-Payroll And Timekeeping Clerks
433061,OFF,Procurement Clerks,OFF-Procurement Clerks
433071,OFF,Tellers,OFF-Tellers
4330XX,OFF,Other Financial Clerks,OFF-Other Financial Clerks
434031,OFF,"Court, Municipal, And License Clerks","OFF-Court, Municipal, And License Clerks"
434041,OFF,"Credit Authorizers, Checkers, And Clerks","OFF-Credit Authorizers, Checkers, And Clerks"
434051,OFF,Customer Service Representatives,OFF-Customer Service Representatives
434061,OFF,"Eligibility Interviewers, Government Programs","OFF-Eligibility Interviewers, Government Programs"
434071,OFF,File Clerks,OFF-File Clerks
434081,OFF,"Hotel, Motel, And Resort Desk Clerks","OFF-Hotel, Motel, And Resort Desk Clerks"
434111,OFF,"Interviewers, Except Eligibility And Loan","OFF-Interviewers, Except Eligibility And Loan"
434121,OFF,"Library Assistants, Clerical","OFF-Library Assistants, Clerical"
434131,OFF,Loan Interviewers And Clerks,OFF-Loan Interviewers And Clerks
434141,OFF,New Accounts Clerks,OFF-New Accounts Clerks
434161,OFF,"Human Resources Assistants, Except Payroll And Timekeeping","OFF-Human Resources Assistants, Except Payroll And Timekeeping"
434171,OFF,Receptionists And Information Clerks,OFF-Receptionists And Information Clerks
434181,OFF,Reservation And Transportation Ticket Agents And Travel Clerks,OFF-Reservation And Transportation Ticket Agents And Travel Clerks
434XXX,OFF,Correspondence Clerks And Order Clerks,OFF-Correspondence Clerks And Order Clerks
434YYY,OFF,Other Information And Records Clerks,OFF-Other Information And Records Clerks
435011,OFF,Cargo And Freight Agents,OFF-Cargo And Freight Agents
435021,OFF,Couriers And Messengers,OFF-Couriers And Messengers
435031,OFF,Public Safety Telecommunicators,OFF-Public Safety Telecommunicators
435032,OFF,"Dispatchers, Except Police, Fire, And Ambulance","OFF-Dispatchers, Except Police, Fire, And Ambulance"
435041,OFF,"Meter Readers, Utilities","OFF-Meter Readers, Utilities"
435051,OFF,Postal Service Clerks,OFF-Postal Service Clerks
435052,OFF,Postal Service Mail Carriers,OFF-Postal Service Mail Carriers
435053,OFF,"Postal Service Mail Sorters, Processors, And Processing Machine Operators","OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators"
435061,OFF,"Production, Planning, And Expediting Clerks","OFF-Production, Planning, And Expediting Clerks"
435071,OFF,"Shipping, Receiving, And Inventory Clerks","OFF-Shipping, Receiving, And Inventory Clerks"
435111,OFF,"Weighers, Measurers, Checkers, And Samplers, Recordkeeping","OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping"
436011,OFF,Executive Secretaries And Executive Administrative Assistants,OFF-Executive Secretaries And Executive Administrative Assistants
436012,OFF,Legal Secretaries And Administrative Assistants,OFF-Legal Secretaries And Administrative Assistants
436013,OFF,Medical Secretaries And Administrative Assistants,OFF-Medical Secretaries And Administrative Assistants
436014,OFF,"Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
439021,OFF,Data Entry Keyers,OFF-Data Entry Keyers
439022,OFF,Word Processors And Typists,OFF-Word Processors And Typists
439041,OFF,Insurance Claims And Policy Processing Clerks,OFF-Insurance Claims And Policy Processing Clerks
